,timestamp,tvlUSD,tvlETH,BTC,ETH,DAI
431,1587772800,819653792,4375687.550715353,1588.2674295199997,2818283.631284456,32120445.89158059
432,1587686400,807441966,4363136.096401168,1548.01649033,2767495.442652858,31869968.6822303
433,1587600000,821078260,4464808.374116368,1557.81455718,2804936.068706855,22979383.1231243
434,1587513600,778104591,4485786.873054306,1538.5608099400001,2797633.2436034046,22376664.956989568
435,1587427200,779633324,4495118.334870849,1441.54319776,2785423.5253746454,21703327.725872792
436,1587340800,809981873,4444588.855355573,1452.33870411,2750570.9289077087,26299845.44530453
437,1587254400,844709008,4463927.5379168205,1468.6274394700001,2751449.7388601094,27127674.950414285
438,1587168000,793211490,4593534.225156359,1455.2476130500004,2723590.0574608603,28754031.587726712
439,1587081600,795835305,4585361.287162941,1482.7428144199998,2722158.167648303,28481696.325185828
440,1586995200,728149395,4657473.423308175,1436.2571711099997,2718569.6507066013,28498438.619061857
441,1586908800,752548674,4664943.429209026,1427.87810175,2709480.0194110777,28414673.8145217
442,1586822400,739887686,4699191.400444588,1430.60546097,2707138.6050954415,29039960.243036624
443,1586736000,748430367,4693530.459049292,1428.3100138299997,2715555.4354994,28521087.56590907
444,1586649600,742941962,4650071.74062715,1427.92781567,2714649.0151869655,27632610.69995055
445,1586563200,736505329,4652592.097283639,1448.72608771,2718464.7692316878,29399861.09488872
446,1586476800,779405407,4578274.242246241,1426.6143176399999,2701122.0530790053,30776583.26984699
447,1586390400,789743954,4556565.62427879,1422.0792600799998,2692239.136394733,31220055.019980717
448,1586304000,768951396,4658617.448200654,1452.2484864399999,2702829.2685962613,32638923.443776812
449,1586217600,799894891,4661935.487819092,1489.21284557,2812906.101469497,38996004.84218396
450,1586131200,721714069,5017478.232758621,1509.4397477300001,2847358.343623143,41574032.49562683
451,1586044800,724982661,5002640.498205907,1886.0220996100002,2847398.8902528784,41520749.35125469
452,1585958400,712627551,5028064.284202359,3717.3911255900002,2849784.5116470936,40741801.7487179
453,1585872000,711236265,5013649.125898772,3785.18645679,2845127.283775903,40667218.90938556
454,1585785600,691503462,5067073.071004616,8124.69721956,2851850.673519017,40990886.10940897
455,1585699200,675567903,5023183.15859915,8185.417434019999,2854326.6262323274,42529582.23608221
456,1585612800,637594440,4796106.815104558,8046.75239349,2820308.5284710643,19096767.091863666
457,1585526400,634482176,5026397.655074071,7463.19439284,2818245.1748159537,43776875.665133305
458,1585440000,651905506,4921155.778666869,7104.22042352,2793366.0278682685,50059961.55518525
459,1585353600,650465797,4887413.006236383,7161.198549639999,2768298.3982484206,51403544.024105005
460,1585267200,671908856,4791477.258789134,6974.929531549999,2753807.4908840787,51609601.40520372
461,1585180800,648758802,4722710.941253548,7092.033483949999,2709897.690236607,44327458.8066769
462,1585094400,654890945,4681136.132952109,7250.55038493,2714300.903180857,50807849.84491402
